"","gene.name.list"
"1","128up"
"2","140up"
"3","14-3-3epsilon"
"4","14-3-3zeta"
"5","18w"
"6","26-29-p"
"7","2mit"
"8","4EHP"
"9","4E-T"
"10","5-HT1A"
"11","5-HT1B"
"12","5-HT2A"
"13","5PtaseI"
"14","7B2"
"15","a"
"16","A16"
"17","A2bp1"
"18","a6"
"19","Aac11"
"20","Aatf"
"21","Aats-ala"
"22","Aats-ala-m"
"23","Aats-arg"
"24","Aats-asn"
"25","Aats-asp"
"26","Aats-cys"
"27","Aats-gln"
"28","Aats-glupro"
"29","Aats-gly"
"30","Aats-his"
"31","Aats-ile"
"32","Aats-leu"
"33","Aats-lys"
"34","Aats-met"
"35","Aats-phe"
"36","Aats-pro"
"37","Aats-ser"
"38","Aats-thr"
"39","Aats-trp"
"40","Aats-tyr"
"41","Aats-tyr-m"
"42","Aats-val"
"43","aay"
"44","ab"
"45","ABCB7"
"46","abd-A"
"47","Abd-B"
"48","Abi"
"49","Abl"
"50","abo"
"51","Abp1"
"52","abs"
"53","ac"
"54","Ac13E"
"55","Ac3"
"56","Ac78C"
"57","ACC"
"58","AcCoAS"
"59","Acer"
"60","Acf1"
"61","achi"
"62","acj6"
"63","Ack"
"64","Ack-like"
"65","Acn"
"66","Acon"
"67","Acox57D-d"
"68","Acox57D-p"
"69","Acp36DE"
"70","Acph-1"
"71","Acsl"
"72","Act42A"
"73","Act57B"
"74","Act5C"
"75","Act87E"
"76","Act88F"
"77","Actbeta"
"78","Actn"
"79","ACXA"
"80","ACXC"
"81","Acyp2"
"82","Ada"
"83","Ada1-1"
"84","Ada1-2"
"85","Ada2a"
"86","Ada2b"
"87","Adam"
"88","AdamTS-A"
"89","Adar"
"90","adat"
"91","ADD1"
"92","ade2"
"93","ade3"
"94","ade5"
"95","AdenoK"
"96","Adf1"
"97","Adgf-A"
"98","Adgf-D"
"99","AdipoR"
"100","Adk1"
"101","Adk2"
"102","Adk3"
"103","adp"
"104","AdSL"
"105","AdSS"
"106","Ady43A"
"107","Aef1"
"108","aft"
"109","Afti"
"110","AGBE"
"111","ago"
"112","AGO1"
"113","AGO2"
"114","AGO3"
"115","agt"
"116","Ahcy13"
"117","AIF"
"118","Ak6"
"119","Akap200"
"120","Akh"
"121","akirin"
"122","Akt1"
"123","Alas"
"124","alc"
"125","ald"
