,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,fj,erm,danr,cad,Ance,apt,run,disco,bmm,pxb
2,kni,bowl,tll,ken,Kr,Antp,Blimp-1,E(spl)m5-HLH,Nek2,toc
3,2857,2856,2894,2858,137,2896,2889,174,2890,2900
4,2642,2640,2643,2939,2641,2720,2941,2964,784,2685
5,1396,1391,1357,1398,1364,3008,1359,1353,3004,1055
6,2388,2726,2640,129,164,2682,132,514,2857,823
7,1365,1396,1124,1158,1402,1364,1115,1055,1118,1134
8,1158,1124,1115,1116,2642,1118,1120,1082,1396,1357
9,2857,2889,2894,2856,2896,2858,2895,2900,2890,2898
10,1365,1134,1158,1402,1115,1133,1063,5,1440,2977
11,1055,1359,1398,1094,1057,3008,1056,1095,1396,1740
12,5,2857,1095,2856,943,296,447,486,2894,2889
13,1134,1133,1365,1158,1095,1402,1055,1115,1359,2977
14,1365,1134,1133,1063,1402,1095,1099,1101,1098,1102
15,1134,1158,1365,1133,1124,1055,1115,1364,1402,1359
16,1055,1359,1398,1094,1057,3008,2836,2795,1095,2756
17,2857,5,2889,2894,100,2896,21,13,2856,19
18,1376,1338,1300,1337,2949,2988,1334,1374,1344,1343
19,1344,2949,1343,1382,1345,1377,1380,1416,1338,1375
20,5,2857,2856,2894,2890,2889,2854,2891,58,19
21,2889,2894,2895,2896,2857,710,2898,2900,2891,2890
22,610,609,571,3026,534,533,648,647,572,611
23,1364,1357,1391,1365,1353,1124,1158,1116,1402,1396
24,1391,1357,1353,1356,1396,1355,1352,3004,1390,1394
25,273,2896,148,2933,2852,73,184,149,2817,2818
26,1361,1171,1344,3008,2932,1343,2963,1396,1345,2949
27,5,13,19,100,21,12,8,61,9,2857
28,2857,2856,58,137,2858,136,59,100,56,132
29,2857,2856,2894,2858,2896,2900,2889,2855,2890,2859
30,1364,1365,1124,1158,1134,1118,1402,1116,1391,1115
31,2716,2641,2720,2759,2727,2677,2718,2756,2719,2721
32,1095,1133,1134,1057,3008,1094,1132,1365,1398,1359
33,1095,943,3008,1057,1398,1133,1361,1740,1094,3025
34,2795,2790,2791,2835,2831,2868,2792,2749,2910,2756
35,1134,1133,1365,1158,1100,1135,1063,1125,1099,1124
36,1158,1365,1124,1118,1364,1115,1116,1402,1087,1357
37,13,2974,23,17,14,12,9,61,20,2
38,2892,2890,2854,2889,2913,2853,2891,2857,2894,43
39,19,21,13,9,2976,1679,100,12,5,10
40,1338,1374,1376,1412,1375,2949,1299,1416,1300,1337
41,1391,1353,1357,1356,1355,1390,3004,1392,1352,1396
42,2677,2759,2718,2720,2727,2716,2756,2719,2641,2758
43,2720,2727,2759,2718,2641,2677,2725,2716,2642,2721
44,1398,1359,3008,1396,1361,1323,1055,1397,1322,1422
45,1357,1396,1391,1359,1398,1353,1358,1055,3004,1282
46,2759,2718,2720,2677,2727,2836,2766,2765,2719,2792
47,1365,1134,1364,1158,1402,1124,1133,1357,1359,1366
48,1134,1158,1095,1133,1365,1124,1135,1125,1121,1129
49,1134,1133,1365,1158,1179,1364,1063,1095,1124,1135
50,1134,1135,1100,1125,1163,1062,1024,1129,1063,1158
51,1134,1365,1364,1158,1133,1402,1063,1124,1440,1115
52,1391,1364,1357,1353,1365,1396,1116,1118,1124,1402
53,2795,2835,2910,2867,2756,2831,2909,2796,2833,2868
54,2857,5,2856,13,2894,2858,9,12,2896,2889
55,3008,1398,1361,1323,1322,943,1396,1095,1355,3004
56,2857,2894,2896,2858,2889,2900,2856,2855,2890,2898
57,1391,1353,671,769,669,633,770,708,1390,740
58,2857,2856,2894,2858,2889,2896,2890,2900,2854,2891
59,1134,1095,1133,1359,1057,1365,1055,1364,1094,1132
60,1364,1365,1134,1062,1100,1061,1063,1024,1135,1402
61,2305,2991,2380,2076,2077,2078,2427,2418,2116,2040
62,2857,2858,2856,2894,2896,2900,2889,2855,2859,2862
63,1391,1353,3004,1357,1390,1356,1355,1396,1392,941
